,Hybrid Sort,Time Complexity
606,8527,32611.67703
607,8503,32661.57953
608,8573,32721.1354
609,8563,32772.48374
610,8611,32829.77278
611,8602,32881.22641
612,8702,32943.803
613,8687,32994.66312
614,8724,33050.80903
615,8734,33104.21029
616,8744,33157.61135
617,8787,33214.36146
618,8746,33262.57977
619,8796,33320.04966
620,8857,33378.61636
621,8882,33433.53425
622,8922,33489.96077
623,8929,33543.0642
624,8928,33595.36071
625,8966,33651.58525
626,8951,33702.47176
627,9013,33761.10972
628,8969,33809.0775
629,9004,33865.00407
630,9110,33928.03721
631,9099,33979.34753
632,9140,34035.85295
633,9128,34087.06354
634,9207,34147.35184
635,9237,34202.74838
636,9228,34254.2727
637,9225,34306.38897
638,9302,34366.45225
639,9310,34419.66684
640,9377,34478.70888
641,9363,34529.75632
642,9349,34580.79512
643,9415,34639.7413
644,9450,34695.61704
645,9409,34744.00237
646,9433,34798.79945
647,9556,34863.3163
648,9544,34914.58235
649,9571,34969.66416
650,9598,35024.74442
651,9616,35078.94455
652,9635,35133.2422
653,9667,35188.80741
654,9695,35243.98045
655,9697,35296.62145
656,9756,35354.80646
657,9820,35413.45484
658,9780,35462.03813
659,9879,35524.06365
660,9795,35568.39499
661,9856,35626.76313
662,9886,35682.12027
663,9914,35737.28224
664,9903,35788.67737
665,9913,35842.1005
666,9988,35901.79676
667,10070,35962.12749
668,10050,36012.684
669,10025,36062.74753
670,10046,36117.2319
671,10104,36175.26735
672,10101,36227.44815
673,10179,36287.38304
674,10235,36345.193
675,10208,36395.10152
676,10213,36448.05401
677,10280,36506.914
678,10315,36562.71939
679,10289,36612.73068
680,10289,36665.20847
681,10387,36726.99767
682,10401,36780.81016
683,10401,36833.29722
684,10489,36894.09611
685,10451,36943.00434
686,10480,36998.23442
687,10537,37056.10005
688,10532,37108.12421
689,10580,37165.13667
690,10634,37222.7015
691,10673,37278.85313
692,10587,37323.28157
693,10636,37380.38987
694,10668,37435.89392
695,10755,37496.53626
696,10769,37550.35061
697,10786,37604.44466
698,10792,37657.5128
699,10767,37707.68086
700,10879,37770.63305
701,10876,37822.86845
702,10928,37880.21101
703,10923,37932.26355
704,11000,37991.91214
705,10946,38039.42887
706,11049,38101.48129
707,10963,38146.03555
708,11058,38207.35969
709,11143,38267.71366
710,11151,38320.97928
711,11102,38368.99145
712,11139,38424.93025
713,11170,38480.31289
714,11196,38535.23367
715,11280,38595.47121
716,11292,38649.10551
717,11336,38705.66382
718,11343,38758.84236
719,11348,38811.83748
720,11388,38868.02905
721,11437,38925.0348
722,11470,38980.57982
723,11506,39036.39452
724,11491,39087.58049
725,11519,39142.67074
726,11569,39199.75349
727,11587,39253.93455
728,11595,39307.21017
729,11689,39368.2518
730,11663,39418.46602
731,11717,39475.89184
732,11697,39526.64661
733,11785,39587.12715
734,11764,39637.80183
735,11862,39699.15752
736,11853,39750.92037
737,11794,39798.18032
738,11927,39862.67634
739,11979,39919.8853
740,12003,39974.59721
741,11930,40020.65173
742,12018,40081.0843
743,12006,40132.58742
744,12095,40193.08547
745,12014,40238.44259
746,12105,40299.13159
747,12132,40354.10932
748,12189,40411.74547
749,12170,40462.64251
750,12225,40520.10004
751,12229,40573.03764
752,12256,40628.01202
753,12308,40685.19441
754,12426,40748.16083
755,12349,40793.98919
756,12421,40852.91797
757,12453,40908.32256
758,12502,40965.21347
759,12559,41022.79473
760,12556,41075.13762
761,12521,41124.67555
762,12571,41181.65343
763,12577,41234.77922
764,12621,41291.22787
765,12637,41345.2286
766,12727,41405.67361
767,12747,41460.02191
768,12719,41510.19658
769,12716,41562.54097
770,12762,41619.15618
771,12764,41671.93771
772,12835,41730.72143
773,12981,41795.94713
774,12890,41840.71776
775,12931,41896.88264
776,13008,41956.14619
777,12982,42006.52695
778,13046,42064.6656
779,13168,42127.75063
780,13098,42174.38831
781,13142,42230.79314
782,13150,42284.1088
783,13205,42341.45177
784,13165,42390.65268
785,13209,42447.05756
786,13274,42505.25302
787,13268,42557.37401
788,13362,42618.03166
789,13341,42668.88149
790,13282,42716.46599
791,,
792,,
